station_id,station_name,year,month,month_total
40680,Adams/Wabash,2024,8,117164
41700,Washington/Wabash,2024,8,204642
40260,State/Lake,2024,8,247400
40380,Clark/Lake,2024,8,248277
40900,Howard,2024,9,93063
41190,Jarvis,2024,9,31874
40100,Morse,2024,9,75003
41300,Loyola,2024,9,119321
40760,Granville,2024,9,77690
40880,Thorndale,2024,9,55385
41380,Bryn Mawr,2024,9,48590
40340,Berwyn,2024,9,0
41200,Argyle,2024,9,86156
40770,Lawrence,2024,9,0
40540,Wilson,2024,9,163540
40080,Sheridan,2024,9,78882
41420,Addison-North Main,2024,9,223108
41320,Belmont-North Main,2024,9,209486
41220,Fullerton,2024,9,264973
40650,North/Clybourn,2024,9,95077
40630,Clark/Division,2024,9,147473
41450,Chicago/State,2024,9,231384
40330,Grand/State,2024,9,200135
41660,Lake/State,2024,9,307332
41090,Monroe/State,2024,9,110158
40560,Jackson/State,2024,9,125888
41490,Harrison,2024,9,79201
41400,Roosevelt,2024,9,211840
41000,Cermak-Chinatown,2024,9,103546
40190,Sox-35th-Dan Ryan,2024,9,74600
41230,47th-Dan Ryan,2024,9,38547
41170,Garfield-Dan Ryan,2024,9,48974
40910,63rd-Dan Ryan,2024,9,37740
40990,69th,2024,9,66147
40240,79th,2024,9,86412
41430,87th,2024,9,50893
40450,95th/Dan Ryan,2024,9,126597
41050,Linden,2024,9,15958
41250,Central-Evanston,2024,9,10831
40400,Noyes,2024,9,14564
40520,Foster,2024,9,11215
40050,Davis,2024,9,49013
40690,Dempster,2024,9,13646
40270,Main,2024,9,17483
40840,South Boulevard,2024,9,10869
40140,Dempster-Skokie,2024,9,25889
41680,Oakton-Skokie,2024,9,12882
40890,O'Hare Airport,2024,9,290155
40820,Rosemont,2024,9,113885
40230,Cumberland,2024,9,60611
40750,Harlem-O'Hare,2024,9,42249
41280,Jefferson Park,2024,9,125552
41330,Montrose-O'Hare,2024,9,45460
40550,Irving Park-O'Hare,2024,9,72670
41240,Addison-O'Hare,2024,9,49867
40060,Belmont-O'Hare,2024,9,93912
41020,Logan Square,2024,9,116461
40570,California/Milwaukee,2024,9,89958
40670,Western/Milwaukee,2024,9,90083
40590,Damen/Milwaukee,2024,9,108342
40320,Division/Milwaukee,2024,9,108092
41410,Chicago/Milwaukee,2024,9,69177
40490,Grand/Milwaukee,2024,9,59219
40370,Washington/Dearborn,2024,9,210770
40790,Monroe/Dearborn,2024,9,96069
40070,Jackson/Dearborn,2024,9,104357
41340,LaSalle,2024,9,53332
40430,Clinton-Forest Park,2024,9,51415
40350,UIC-Halsted,2024,9,124213
40470,Racine,2024,9,20933
