year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled,transportation_need_index_0_100,need_quintile
2024,17031804109,Census Tract 8041.09; Cook County; Illinois,17,31,804109,3203,146382,1145,68,3076,798,790,0.2466437714642522,0.0593886462882096,0.2594278283485045,52.34,Moderate
2024,17031804202,Census Tract 8042.02; Cook County; Illinois,17,31,804202,7444,183859,2774,154,7444,1798,1830,0.2458355722729715,0.0555155010814708,0.2415368081676518,47.48,Moderate
2024,17031804203,Census Tract 8042.03; Cook County; Illinois,17,31,804203,3598,246477,1111,0,3598,979,811,0.2254030016675931,0.0,0.2720956086714841,42.06,Low
2024,17031804204,Census Tract 8042.04; Cook County; Illinois,17,31,804204,5191,157750,1857,30,5044,1588,1063,0.2047774995183972,0.0161550888529886,0.3148295003965107,46.94,Moderate
2024,17031804305,Census Tract 8043.05; Cook County; Illinois,17,31,804305,8126,79464,2707,393,8126,1828,911,0.1121092788579867,0.1451791651274473,0.2249569283780458,49.12,Moderate
2024,17031804306,Census Tract 8043.06; Cook County; Illinois,17,31,804306,5889,105236,1832,2,5889,1576,896,0.152148072677874,0.0010917030567685,0.2676175921209033,40.19,Low
2024,17031804308,Census Tract 8043.08; Cook County; Illinois,17,31,804308,4918,84244,1906,101,4902,1358,726,0.1476209841398942,0.0529905561385099,0.2770297837617299,51.89,Moderate
2024,17031804309,Census Tract 8043.09; Cook County; Illinois,17,31,804309,2978,91595,967,51,2970,705,407,0.1366689053055742,0.0527404343329886,0.2373737373737373,43.52,Low
2024,17031804312,Census Tract 8043.12; Cook County; Illinois,17,31,804312,1661,183000,552,9,1661,334,273,0.164358819987959,0.0163043478260869,0.2010836845273931,27.55,Very Low
2024,17031804313,Census Tract 8043.13; Cook County; Illinois,17,31,804313,6563,130869,2129,20,6552,1693,786,0.1197623038244705,0.009394081728511,0.2583943833943834,31.79,Very Low
2024,17031804314,Census Tract 8043.14; Cook County; Illinois,17,31,804314,1322,101635,611,36,1322,198,293,0.2216338880484115,0.0589198036006546,0.1497730711043872,41.3,Low
2024,17031804315,Census Tract 8043.15; Cook County; Illinois,17,31,804315,2683,101806,891,33,2683,570,411,0.1531867312709653,0.037037037037037,0.2124487513976891,37.73,Very Low
2024,17031804316,Census Tract 8043.16; Cook County; Illinois,17,31,804316,4486,116835,1561,29,4486,821,808,0.1801159161836825,0.0185778347213324,0.1830138207757467,31.85,Very Low
2024,17031804403,Census Tract 8044.03; Cook County; Illinois,17,31,804403,7194,87445,2792,100,7194,1652,1202,0.1670836808451487,0.0358166189111747,0.229635807617459,45.9,Moderate
2024,17031804404,Census Tract 8044.04; Cook County; Illinois,17,31,804404,5399,86546,1684,43,5334,1527,698,0.1292832005927023,0.0255344418052256,0.2862767154105737,46.03,Moderate
2024,17031804405,Census Tract 8044.05; Cook County; Illinois,17,31,804405,3643,76906,1078,101,3589,886,373,0.1023881416415042,0.0936920222634508,0.246865422123154,49.15,Moderate
2024,17031804406,Census Tract 8044.06; Cook County; Illinois,17,31,804406,5465,75305,1857,54,5424,1275,637,0.1165599268069533,0.0290791599353796,0.2350663716814159,42.11,Low
2024,17031804505,Census Tract 8045.05; Cook County; Illinois,17,31,804505,3677,94669,1471,54,3677,739,364,0.0989937449007342,0.0367097212780421,0.2009790590155017,30.16,Very Low
2024,17031804506,Census Tract 8045.06; Cook County; Illinois,17,31,804506,5352,128170,1949,89,5216,931,1193,0.2229073243647234,0.0456644433042585,0.178489263803681,38.06,Low
2024,17031804508,Census Tract 8045.08; Cook County; Illinois,17,31,804508,2285,53929,876,81,2285,612,253,0.1107221006564551,0.0924657534246575,0.2678336980306345,58.45,High
